srno,sequence,eventId,name,description,state,year,start_date,season_type,end_date,academic_year,academicYrId,revaluation_for_exam Season,previous_exam_season,exam_form_filling_stage,exam_from_applicable_subject_type,type,applyForSeason,applyForType,exam_form_fee_type,redressal_form_fee_type,redressal_stage,code,created_at,deleted_at,updated_at,created_by,updated_by,deleted_by
84,111,12,Remedial Re-registration Summer 2023 (Diploma),Remedial Re-registration Summer 2023 (Diploma),Active,2022,3/9/2022,Remedial Exam Season,4/9/2022,2022 - 2023,6,,Summer Semester Examinations 2022 / Active / Even Semester Exam Season / 2022-05-24,Active,Even program backlog only,Rem,Summer,ReReg,Paid,,,,NULL,NULL,NULL,NULL,NULL,NULL
85,86,5,Revaluation Winter Semester Examinations 2021,Revaluation Winter Semester Examinations 2021,Completed,2021,9/21/2022,Revaluation Exam Season,10/5/2022,2021 - 2022,5,Winter Semester Examinations 2022 / Active / Even Semester Exam Season / 2022-05-24,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,-,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
86,120,13,Revaluation - Winter Semester Examinations 2023,Revaluation - Winter Semester Examinations 2023,In-Active,2023,3/1/2022,Revaluation Exam Season,4/15/2022,2023-2024,7,Winter Semester Examinations 2023 / Completed / Odd Semester Exam Season / 2022-09-25,,,Any backlog subjects only,Rev,Winter,Reg,Paid,,Photocopy,,NULL,NULL,NULL,NULL,NULL,NULL
87,121,13,Remedial Winter – 2023-24,Remedial Winter – 2023-24,In-Active,2023,3/9/2022,Remedial Exam Season,4/9/2022,2023-2024,7,,Winter Semester Examinations 2023 / Completed / Odd Semester Exam Season / 2022-09-25,In-Active,Odd program backlog only,Rem,Winter,Reg,Paid,,,,NULL,NULL,NULL,NULL,NULL,NULL
88,122,13,Re-registration Winter Semester Examinations 2023(Diploma),Re-registration Winter Semester Examinations 2023(Diploma),Active,2023,5/1/2023,Re-registration Exam Season,5/31/2023,2023-2024,7,,,Active,Odd program backlog only,ReReg,Winter,NULL,Free,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
89,123,13,Remedial Re-registration Winter 2023(Diploma),Remedial Re-registration Winter 2023 (Diploma),In-Active,2023,3/9/2022,Remedial Exam Season,4/9/2022,2023-2024,7,,Winter Semester Examinations 2023/ Active / Even Semester Exam Season / 2022-05-24,In-Active,Odd program backlog only,Rem,Winter,ReReg,Paid,,,,NULL,NULL,NULL,NULL,NULL,NULL
90,124,13,Supplementary/Backlog Winter Semester Examinations 2023,Supplementary Winter Semester Examinations 2023,Active,2023,11/10/2023,Backlog Exam Season,11/29/2023,2023-2024,7,,,,Odd program backlog only,Sup,Winter,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
91,125,13,Revaluation - Supplementary/Backlog Winter Semester Examinations 2023,Revaluation - Supplementary Winter Semester Examinations 2023,In-Active,2023,6/21/2023,Revaluation Exam Season,6/22/2023,2023-2024,7,Supplementary/Backlog Winter Semester Examinations 2023 / Completed / Backlog Exam Season / 2023-06-21,,In-Active,Any backlog subjects only,Rev,Winter,Sup,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
92,126,14,Summer Semester Examinations 2024,Summer Semester Examinations 2024,In-Active,2024,5/1/2023,Even Semester Exam Season,5/5/2023,2023-2024,7,,,In-Active,Fresh subjets only,Reg,Summer,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
93,127,14,Revaluation - Summer Semester Examinations 2024,Revaluation - Summer Semester Examinations 2024,In-Active,2024,5/2/2023,Revaluation Exam Season,5/12/2023,2023-2024,7,Summer Semester Examinations 2018 / Completed / Even Semester Exam Season / 2023-05-26,,In-Active,Any backlog subjects only,Rev,Summer,Reg,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
94,128,14,Remedial Summer – 2023-24,Remedial Summer – 2023-24,In-Active,2024,5/1/2023,Remedial Exam Season,5/4/2023,2023-2024,7,,Summer Semester Examinations 2024 / Completed / Even Semester Exam Season / 2023-04-26,In-Active,Even program backlog only,Rem,Summer,Reg,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
95,129,14,Re-registration Summer Semester Examinations 2024(Diploma),Re-registration Summer Semester Examinations 2024(Diploma),In-Active,2024,5/1/2023,Re-registration Exam Season,5/31/2023,2023-2024,7,,,In-Active,Even program backlog only,ReReg,Summer,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
96,130,14,Remedial Re-registration Summer 2024(Diploma),Remedial Re-registration Summer 2024 (Diploma),In-Active,2024,3/9/2022,Remedial Exam Season,4/9/2022,2023-2024,7,,Summer Semester Examinations 2023 / Active / Even Semester Exam Season / 2022-05-24,In-Active,Even program backlog only,Rem,Summer,ReReg,Paid,,,,NULL,NULL,NULL,NULL,NULL,NULL
97,131,14,Supplementary/Backlog Summer Semester Examinations 2024,Supplementary Summer Semester Examinations 2024,In-Active,2024,5/1/2023,Backlog Exam Season,5/31/2023,2023-2024,7,Supplementary/Backlog Summer Semester Examinations 2018 / Completed / Backlog Exam Season / 2023-05-25,,In-Active,Any backlog subjects only,Sup,Summer,NULL,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
98,132,14,Revaluation - Supplementary/Backlog Summer Semester Examinations 2024,Revaluation - Supplementary Summer Semester Examinations 2024,In-Active,2024,6/21/2023,Revaluation Exam Season,6/22/2023,2023-2024,7,Supplementary/Backlog Summer Semester Examinations 2023 / Completed / Backlog Exam Season / 2023-06-21,,In-Active,Any backlog subjects only,Rev,Summer,Sup,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
1112,133,15,Supplementary/Backlog Winter Semester Examinations 2024,Supplementary Winter Semester Examinations 2024,In-Active,2024,11/10/2024,Backlog Exam Season,11/29/2024,2024-2025,8,,,In-Active,Odd program backlog only,Sup,Winter,,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
1114,134,15,Winter Semester Examinations 2024,Winter Semester Examinations 2024,In-Active,2024,11/10/2024,Odd Semester Exam Season,NULL,NULL,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1115,135,15,Revaluation - Supplementary/Backlog Winter Semester Examinations 2024,Revaluation - Supplementary Winter Semester Examinations 2024,In-Active,2024,11/10/2024,Revaluation Exam Season,NULL,NULL,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1116,136,16,Supplementary/Backlog Summer Semester Examinations 2025,Supplementary Summer Semester Examinations 2025,In-Active,2025,11/10/2024,Backlog Exam Season,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
